sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation
25,C0_clean,bonafide,0.5390423358804336,0.5402873700151215,1.0,0.8281549251936323,0.4274281352758408,1.0,0.42834562063217163,0.9988374633466028
25,C8_opus16,bonafide,0.5413155648136231,0.5383853580326874,1.0,0.7789340110250543,0.4381659954786301,0.9087343811988831,0.3859115540981293,0.9988893077202077
25,C9_opus6,bonafide,0.5573750287836936,0.5231332305215234,1.0,0.27217379248680895,0.16456754326820375,0.18474353849887848,0.06976004093885421,0.5911612160186711
25,N1_awgn20,bonafide,0.5466873796204117,0.5344476531917722,1.0,0.7992882832000298,0.47323950231075296,0.8550079464912415,0.5307661890983582,0.9935174929134191
25,N2_awgn10,bonafide,0.5420094878273368,0.5251056478632271,1.0,0.7731452062026968,0.49997259080410006,0.8307626843452454,0.47127172350883484,0.9981953847064939
26,C0_clean,bonafide,0.5482248385675065,0.5387548198022182,1.0,0.8666778919004609,0.4274281084537506,1.0,0.5683937668800354,0.9871992061215008
26,C8_opus16,bonafide,0.5433815631487401,0.5535690916662539,1.0,0.8197703539248182,0.4381659954786301,0.9087343811988831,0.5288795232772827,0.9920424815402672
26,C9_opus6,bonafide,0.5643087093588418,0.51102649240781,1.0,0.2614998459834814,0.1607943969964981,0.1655113846063614,0.083404541015625,0.5675797661208313
26,N1_awgn20,bonafide,0.5418053604326539,0.5370211595676764,1.0,0.7797378293407793,0.47137442529201506,0.8630056977272034,0.45483314990997314,0.9936186842563534
26,N2_awgn10,bonafide,0.5394926717959699,0.5333693366212009,1.0,0.7775884794748371,0.4941600292921067,0.8617730736732483,0.4469994604587555,0.9959313728930373
27,C0_clean,bonafide,0.5445528206118554,0.5452766549827321,1.0,0.8522963224381555,0.4274281352758408,1.0,0.5109611749649048,0.9966932331622803
27,C8_opus16,bonafide,0.5374554417785969,0.5381582080223409,1.0,0.8221765831192491,0.4381659954786301,0.9087343811988831,0.5327333807945251,0.9962093880044612
27,C9_opus6,bonafide,0.5591466043017705,0.5183617151450205,1.0,0.2746042488584305,0.16162129029631614,0.17739729583263397,0.08643131554126739,0.5923864528766557
27,N1_awgn20,bonafide,0.5357166153874605,0.5420002736953761,1.0,0.7826121881811867,0.47121562957763674,0.8684692978858948,0.45627766847610474,0.9944705616133248
27,N2_awgn10,bonafide,0.5359714179406884,0.5398505903736689,1.0,0.8177918784970208,0.45478171706199644,0.8517872095108032,0.5955312848091125,0.9947253641665527
28,C0_clean,bonafide,0.5370380303788057,0.5356800461516009,1.0,0.8418955105987407,0.4274281084537506,1.0,0.47569379210472107,0.9972912432244148
28,C8_opus16,bonafide,0.537670564178153,0.5395269693686912,1.0,0.81361416742796,0.4381659686565399,0.9087342619895935,0.502477765083313,0.997923777023762
